effective_date,added_ticker,added_security,removed_ticker,removed_security,reason,announcement_date
2024-12-23,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.[21],2024-12-16
2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.[21],2024-12-16
2024-12-23,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.[22],2024-12-16
2024-11-26,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[23],2024-11-19
2024-10-01,,,BBWI,"Bath & Body Works, Inc.",Market capitalization change.[24],2024-09-24
2024-09-30,AMTM,Amentum,,,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[24]",2024-09-23
2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.[25],2024-09-16
2024-09-23,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.[25],2024-09-16
2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.[25],2024-09-16
2024-06-24,KKR,KKR,RHI,Robert Half,Market capitalization change.[26],2024-06-17
2024-06-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.[26],2024-06-17
2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.[26],2024-06-17
2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[27],2024-05-01
2024-04-03,,,XRAY,Dentsply Sirona,Market capitalization change.[28],2024-03-27
2024-04-03,,,VFC,VF Corporation,Market capitalization change.[28],2024-03-27
2024-04-02,GEV,GE Vernova,,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[28],2024-03-26
2024-04-01,SOLV,Solventum,,,S&P 500 and 100 constituent 3M Co. spun off Solventum.[28],2024-03-25
2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.[29],2024-03-11
2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.[29],2024-03-11
2023-12-18,UBER,Uber,SEE,Sealed Air,Market capitalization change.[30],2023-12-11
2023-12-18,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.[30],2023-12-11
2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.[30],2023-12-11
2023-10-18,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.[31],2023-10-11
2023-10-18,LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[31],2023-10-11
2023-10-03,,,DXC,DXC Technology,Market capitalization change.[32],2023-09-26
2023-10-02,VLTO,Veralto,,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[32],2023-09-25
2023-09-18,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.[33],2023-09-11
2023-09-18,ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.[33],2023-09-11
2023-08-25,KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[34],2023-08-18
2023-06-20,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.[35],2023-06-13
2023-05-04,AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[36],2023-04-27
2023-03-20,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.[37],2023-03-13
2023-03-15,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.[38],2023-03-08
2023-03-15,PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[39]",2023-03-08
2023-01-05,,,VNO,Vornado Realty Trust,Market capitalization change.[40],2022-12-29
2023-01-04,GEHC,GE HealthCare,,,S&P 500 constituent General Electric spun off GE HealthCare.[40],2022-12-28
2022-12-22,STLD,Steel Dynamics,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.[41],2022-12-15
2022-12-19,FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization change.[42],2022-12-12
2022-12-19,,,MBC,MasterBrand,Market capitalization change.[42],2022-12-12
2022-12-15,MBC,MasterBrand,,,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[42],2022-12-08
2022-11-01,ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.[43],2022-10-25
2022-10-12,TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.[44],2022-10-05
2022-10-03,PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.[45],2022-09-26
2022-10-03,EQT,EQT Corporation,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.[45],2022-09-26
2022-09-19,CSGP,CoStar Group,PVH,PVH,Market capitalization change.[46],2022-09-12
2022-09-19,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization change.[46],2022-09-12
2022-06-21,,,UA,Under Armour (Class C),Market capitalization change.[47],2022-06-14
2022-06-21,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A),Market capitalization change.[47],2022-06-14
2022-06-21,ON,ON Semiconductor,IPGP,IPG Photonics,Market capitalization change.[47],2022-06-14
2022-06-08,VICI,Vici Properties,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.[47],2022-06-01
2022-04-11,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[48],2022-04-04
2022-04-11,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[48],2022-04-04
